ObjectPoints (m)	ImagePoints (pixel)
x;y;z	x;y;r
-1.297754;-4.949181;0.307382	751.000000;523.000000;57.000000
-0.506751;-4.309281;0.262208	652.000000;521.000000;53.000000
0.337665;-3.757959;0.156353	548.000000;521.000000;50.000000
1.146367;-3.140861;0.122074	446.000000;524.000000;50.000000
1.964041;-2.543770;0.000000	344.000000;528.000000;51.000000
2.533142;-3.388552;0.000000	371.000000;508.000000;42.000000
1.740593;-4.020624;0.000000	454.000000;507.000000;41.000000
0.919054;-4.652895;0.000000	539.000000;503.000000;41.000000
0.068244;-5.112278;0.289275	624.000000;502.000000;43.000000
-0.724150;-5.803914;0.299962	706.000000;504.000000;45.000000
-0.138757;-6.573605;0.333267	674.000000;488.000000;37.000000
0.647042;-6.019109;0.024073	605.000000;491.000000;37.000000
1.485763;-5.441536;0.000000	532.000000;489.000000;35.000000
2.323147;-4.863388;0.000000	460.000000;491.000000;35.000000
3.133454;-4.230817;0.000000	387.000000;493.000000;35.000000
