ObjectPoints (m)	ImagePoints (pixel)
x;y;z	x;y;r
1.291350;-1.476016;0.000000	285.000000;477.000000;72.000000
1.309565;-1.619151;0.000000	302.000000;467.000000;68.000000
0.381594;-2.829718;0.082659	478.000000;442.000000;56.000000
-0.055334;-3.101711;0.115779	524.000000;445.000000;56.000000
-0.150685;-3.198202;0.073062	548.000000;447.000000;57.000000
-0.258397;-3.306981;0.144645	573.000000;447.000000;57.000000
-0.064046;-3.252479;0.138452	578.000000;445.000000;57.000000
1.662742;-2.033589;0.000000	339.000000;436.000000;55.000000
0.501728;-1.440386;0.000000	340.000000;489.000000;76.000000
-0.063170;-1.827661;0.100423	449.000000;491.000000;74.000000
-1.120833;-4.493035;0.178359	731.000000;433.000000;56.000000
-0.942775;-4.303132;0.184584	696.000000;435.000000;55.000000
0.433583;-3.289684;0.000000	534.000000;428.000000;51.000000
2.387455;-2.045943;0.000000	322.000000;435.000000;52.000000
2.638198;-1.798680;0.000000	256.000000;430.000000;54.000000
2.659609;-1.917947;0.000000	251.000000;431.000000;53.000000
2.618209;-3.606102;0.000000	368.000000;398.000000;38.000000
2.349402;-3.792615;0.000000	411.000000;402.000000;39.000000
1.585403;-4.321925;0.000000	465.000000;399.000000;39.000000
1.067196;-4.621111;0.048080	509.000000;406.000000;40.000000
1.022456;-4.710640;0.097271	536.000000;403.000000;39.000000
-0.227272;-5.588495;0.306598	646.000000;403.000000;40.000000
-1.231524;-6.255302;0.361825	756.000000;412.000000;45.000000
-0.585507;-6.879736;0.345369	731.000000;400.000000;40.000000
1.489356;-6.228524;0.000000	573.000000;385.000000;32.000000
