ObjectPoints (m)	ImagePoints (pixel)
x;y;z	x;y;r
-0.494827;-4.359660;0.255887	650.000000;417.000000;52.000000
0.326309;-3.780862;0.171290	550.000000;423.000000;50.000000
1.959204;-2.586777;0.000000	346.000000;427.000000;51.000000
2.532251;-3.383638;0.000000	370.000000;423.000000;43.000000
0.931778;-4.574929;0.293679	537.000000;415.000000;41.000000
0.893971;-4.850953;0.168372	548.000000;419.000000;40.000000
0.075143;-5.100936;0.289666	623.000000;419.000000;44.000000
-0.623841;-6.997054;0.267806	689.000000;489.000000;38.000000
1.577149;-6.142212;0.000000	550.000000;427.000000;32.000000
1.457090;-5.424500;0.121560	533.000000;420.000000;36.000000
3.111106;-4.224721;0.000000	387.000000;424.000000;35.000000
2.067391;-6.243730;0.137378	525.000000;419.000000;31.000000
