ObjectPoints (m)	ImagePoints (pixel)
x;y;z	x;y;r
-1.296975;-4.897666;0.368876	751.000000;522.000000;57.000000
-0.512217;-4.317495;0.246212	651.000000;520.000000;52.000000
0.342463;-3.753388;0.154766	549.000000;522.000000;50.000000
1.155840;-3.142076;0.114462	444.000000;521.000000;49.000000
1.971236;-2.538738;0.000000	344.000000;524.000000;50.000000
2.535256;-3.392130;0.000000	371.000000;508.000000;42.000000
1.754726;-4.020042;0.000000	460.000000;505.000000;41.000000
0.917239;-4.661695;0.000000	540.000000;504.000000;42.000000
0.069072;-5.115622;0.279618	624.000000;502.000000;43.000000
-1.184872;-6.275236;0.182650	724.000000;499.000000;45.000000
-0.138967;-6.590694;0.313080	674.000000;488.000000;37.000000
0.638281;-6.013403;0.109627	604.000000;490.000000;36.000000
1.479676;-5.442566;0.000000	532.000000;489.000000;35.000000
2.333416;-4.874404;0.000000	460.000000;492.000000;35.000000
3.122124;-5.813430;0.000000	459.000000;485.000000;29.000000
3.592242;-5.128724;0.000000	403.000000;483.000000;30.000000
2.778413;-5.772622;0.000000	466.000000;482.000000;30.000000
1.921864;-6.822226;0.000000	546.000000;486.000000;30.000000
0.377042;-7.354527;0.380843	653.000000;479.000000;32.000000
0.919261;-8.307959;0.310080	638.000000;471.000000;28.000000
1.335900;-8.053911;0.000000	596.000000;472.000000;29.000000
1.695081;-7.879946;0.000000	590.000000;479.000000;28.000000
4.380602;-7.136223;0.000000	436.000000;467.000000;25.000000
-0.066016;-8.331528;0.230828	688.000000;476.000000;29.000000
-1.291696;-4.887636;0.373842	751.000000;522.000000;57.000000
