ObjectPoints (m)	ImagePoints (pixel)
x;y;z	x;y;r
-1.290223;-4.888944;0.371617	751.000000;411.000000;56.000000
-1.435889;-4.909659;0.372932	759.000000;409.000000;57.000000
-0.576959;-4.290859;0.283889	659.000000;419.000000;54.000000
0.339101;-3.760253;0.138626	549.000000;422.000000;50.000000
1.149553;-3.140492;0.109013	445.000000;426.000000;49.000000
1.963462;-2.529060;0.000000	343.000000;526.000000;50.000000
1.481255;-4.404926;0.278994	495.000000;419.000000;39.000000
0.594394;-5.031851;0.107706	577.000000;426.000000;40.000000
-0.069812;-5.345922;0.360588	644.000000;411.000000;42.000000
-0.019571;-5.233115;0.338402	638.000000;418.000000;42.000000
0.067195;-5.085594;0.312254	623.000000;420.000000;42.000000
-0.069396;-5.377441;0.292405	638.000000;415.000000;43.000000
-1.176165;-6.236508;0.268133	747.000000;417.000000;46.000000
-0.199708;-6.619172;0.133218	679.000000;423.000000;37.000000
0.001380;-6.445901;0.075365	662.000000;424.000000;38.000000
0.634357;-5.987368;0.180209	605.000000;417.000000;37.000000
0.039796;-6.503258;0.082681	659.000000;423.000000;37.000000
0.565798;-5.993175;0.144202	611.000000;427.000000;37.000000
1.076788;-5.613694;0.354462	585.000000;499.000000;37.000000
1.488413;-5.446584;0.000000	532.000000;423.000000;35.000000
1.181896;-5.755744;0.134541	559.000000;419.000000;35.000000
2.459492;-5.000443;0.000000	460.000000;497.000000;34.000000
2.920844;-5.398280;0.382102	459.000000;427.000000;30.000000
0.377073;-7.349679;0.385321	653.000000;416.000000;32.000000
-1.290050;-4.884989;0.373593	751.000000;410.000000;57.000000
