ObjectPoints (m)	ImagePoints (pixel)
x;y;z	x;y;r
-1.300554;-4.955508;0.298523	751.000000;523.000000;57.000000
-0.506279;-4.310057;0.252362	652.000000;521.000000;53.000000
0.336510;-3.756710;0.157220	548.000000;522.000000;50.000000
1.153656;-3.152052;0.088837	446.000000;523.000000;50.000000
1.960741;-2.532758;0.000000	344.000000;524.000000;51.000000
2.544435;-3.404762;0.000000	371.000000;508.000000;42.000000
1.741498;-4.016301;0.000000	454.000000;506.000000;41.000000
0.924297;-4.670494;0.000000	539.000000;503.000000;41.000000
0.072043;-5.113037;0.283940	624.000000;503.000000;43.000000
-0.805725;-5.870588;0.351517	708.000000;505.000000;45.000000
-0.147138;-6.585539;0.319336	675.000000;487.000000;38.000000
0.635046;-5.969681;0.218052	605.000000;490.000000;37.000000
1.480017;-5.435397;0.000000	532.000000;490.000000;35.000000
2.328767;-4.874396;0.000000	460.000000;491.000000;35.000000
3.135964;-4.234308;0.000000	387.000000;493.000000;35.000000
