ObjectPoints (m)	ImagePoints (pixel)
x;y;z	x;y;r
-1.298462;-4.922899;0.338204	751.000000;523.000000;57.000000
-0.505547;-4.306560;0.262477	652.000000;519.000000;53.000000
0.338097;-3.767650;0.114577	548.000000;522.000000;50.000000
1.147533;-3.137653;0.122370	446.000000;523.000000;50.000000
1.961849;-2.547229;0.000000	344.000000;525.000000;51.000000
2.536239;-3.387676;0.000000	371.000000;508.000000;42.000000
1.740869;-4.016221;0.000000	454.000000;506.000000;41.000000
0.915435;-4.647269;0.000000	539.000000;504.000000;41.000000
0.073227;-5.105708;0.292996	624.000000;503.000000;43.000000
-0.724150;-5.803914;0.299962	706.000000;504.000000;45.000000
-0.142828;-6.584690;0.322451	674.000000;489.000000;37.000000
0.635150;-5.965283;0.223568	605.000000;491.000000;37.000000
1.481989;-5.440479;0.000000	532.000000;491.000000;35.000000
2.319487;-4.860066;0.000000	460.000000;492.000000;35.000000
3.142469;-4.244094;0.000000	387.000000;493.000000;35.000000
