ObjectPoints (m)	ImagePoints (pixel)
x;y;z	x;y;r
-1.294316;-4.920244;0.336920	751.000000;524.000000;57.000000
-0.506279;-4.310057;0.252362	652.000000;520.000000;53.000000
0.337665;-3.757959;0.156353	548.000000;522.000000;50.000000
1.151137;-3.148241;0.090947	446.000000;523.000000;50.000000
1.974856;-2.537682;0.000000	344.000000;524.000000;51.000000
2.540989;-3.396041;0.000000	371.000000;508.000000;42.000000
1.739832;-4.016967;0.000000	454.000000;506.000000;41.000000
0.917083;-4.670065;0.000000	540.000000;504.000000;42.000000
0.013209;-5.187538;0.284649	624.000000;503.000000;43.000000
-0.805725;-5.870588;0.351517	706.000000;505.000000;45.000000
-0.147138;-6.585539;0.319336	674.000000;488.000000;37.000000
0.639015;-6.000588;0.138420	605.000000;491.000000;37.000000
1.478831;-5.438778;0.000000	532.000000;489.000000;35.000000
2.331086;-4.873997;0.000000	460.000000;492.000000;35.000000
3.142163;-4.242084;0.000000	387.000000;493.000000;35.000000
