ObjectPoints (m)	ImagePoints (pixel)
x;y;z	x;y;r
1.291350;-1.476016;0.000000	289.000000;470.000000;70.000000
0.381594;-2.829718;0.082659	473.000000;440.000000;55.000000
-0.064046;-3.252479;0.138452	578.000000;445.000000;57.000000
1.662742;-2.033589;0.000000	339.000000;436.000000;55.000000
1.766110;-1.707019;0.000000	296.000000;446.000000;59.000000
0.501728;-1.440386;0.000000	340.000000;489.000000;76.000000
-0.063170;-1.827661;0.100423	440.000000;491.000000;75.000000
-1.120833;-4.493035;0.178359	727.000000;436.000000;56.000000
-0.990873;-4.337414;0.236233	710.000000;436.000000;56.000000
-0.910419;-4.256297;0.225082	693.000000;436.000000;56.000000
0.433583;-3.289684;0.000000	534.000000;428.000000;51.000000
2.387455;-2.045943;0.000000	322.000000;435.000000;52.000000
2.659609;-1.917947;0.000000	255.000000;431.000000;53.000000
2.618209;-3.606102;0.000000	368.000000;398.000000;38.000000
2.355203;-3.777388;0.000000	401.000000;402.000000;39.000000
1.585403;-4.321925;0.000000	472.000000;402.000000;39.000000
1.067196;-4.621111;0.048080	509.000000;406.000000;40.000000
1.022456;-4.710640;0.097271	536.000000;402.000000;39.000000
-1.110359;-6.169621;0.374811	734.000000;409.000000;43.000000
-1.231524;-6.255302;0.361825	756.000000;412.000000;45.000000
-0.585507;-6.879736;0.345369	731.000000;400.000000;40.000000
-0.416021;-7.403918;0.385048	702.000000;389.000000;35.000000
1.489356;-6.228524;0.000000	573.000000;385.000000;32.000000
2.671200;-5.405627;0.000000	489.000000;384.000000;31.000000
0.425610;-3.334723;0.099068	530.000000;431.000000;51.000000
